PRE_NO,UNIT,ROUTE,REASON,Longitude,Latitude
PTBJ02216,PTB台灣電力股份有限公司台中區營業處(維護組),大全街(134號),孔蓋異常，恐影響民眾安危,120.6685097,24.13347766
PW4J01309,PW4台灣自來水股份有限公司第四區管理處台中給水廠,松竹北二街(與山西南二街),地下漏水、路面漏水、路面下陷、既有用戶無水處理,120.6829591,24.1842397
PW7J00320,PW7台灣自來水股份有限公司第四區管理處大里服務所,北田路(68號前),地下漏水、路面漏水、路面下陷、既有用戶無水處理,120.7535289,24.12348379
PW4J01310,PW4台灣自來水股份有限公司第四區管理處台中給水廠,公益路(335號),地下漏水、路面漏水、路面下陷、既有用戶無水處理,120.6558624,24.15080625
PTCJ00137,PTC台灣電力股份有限公司台中區營業處豐原分處,三社路(與三社路421巷交叉路口處),孔蓋異常，恐影響民眾安危,120.6830479,24.24321955
PW2J00088,PW2台灣自來水股份有限公司第四區管理處豐原給水廠,豐北街222巷(12號),地下漏水、路面漏水、路面下陷、既有用戶無水處理,120.7170781,24.26150758
PWFJ00032,PWF台灣自來水股份有限公司第四區管理處烏日營運所,五光路(961巷),地下漏水、路面漏水、路面下陷、既有用戶無水處理,120.6296136,24.09949591
PTBJ02358,PTB台灣電力股份有限公司台中區營業處(維護組),市府路(8號),孔蓋異常，恐影響民眾安危,120.6787452,24.13818738
PC2J00528,PC2中華電信股份有限公司臺中營運處第二客戶網路中心,大墩路168號(大墩路168號),通訊、重要管路管理監控資料傳送中斷、用戶停電處理,120.6500101,24.1406377
PC2J00529,PC2中華電信股份有限公司臺中營運處第二客戶網路中心,松竹路二段160巷3弄15號(松竹路二段160巷3弄15號),通訊、重要管路管理監控資料傳送中斷、用戶停電處理,120.696875,24.18409232
